"participant","minutes","n_previous_marathons","age","gender","hills","weather"
230,207,11,29,"Male",5,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
464,388,4,18,"Female",13,"Sunny"
495,340,4,33,"Male",10,"Sunny"
305,327,8,43,"Male",11,"Sunny"
153,291,6,39,"Female",8,"Sunny"
307,410,4,28,"Female",9,"Cloudy"
322,310,5,38,"Male",8,"Cloudy"
288,370,5,27,"Male",9,"Cloudy"
112,387,6,38,"Female",9,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
96,314,5,50,"Other",4,"Sunny"
579,391,7,47,"Female",9,"Cloudy"
249,299,12,59,"Female",8,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
21,287,10,37,"Male",17,"Sunny"
34,403,9,50,"Female",7,"Sunny"
508,394,7,57,"Male",9,"Cloudy"
68,206,9,26,"Male",9,"Sunny"
472,404,9,31,"Female",12,"Cloudy"
397,291,5,33,"Male",7,"Cloudy"
565,424,8,33,"Female",15,"Light Rain"
164,377,6,31,"Female",9,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
389,365,4,32,"Female",5,"Cloudy"
189,338,11,51,"Male",12,"Cloudy"
485,171,11,22,"Female",5,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
350,328,8,45,"Male",10,"Sunny"
455,401,5,33,"Female",6,"Cloudy"
462,315,6,41,"Male",9,"Cloudy"
584,363,6,47,"Female",17,"Sunny"
336,246,7,16,"Female",8,"Cloudy"
385,262,7,25,"Male",13,"Sunny"
115,259,8,31,"Male",9,"Cloudy"
514,347,6,37,"Male",-999,"Cloudy"
116,261,4,9,"Female",14,"Sunny"
259,354,7,33,"Male",13,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
291,215,5,7,"Female",7,"Sunny"
188,244,7,29,"Female",10,"Sunny"
273,258,3,27,"Male",5,"Light Rain"
195,252,11,26,"Female",9,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
267,390,6,40,"Female",9,"Cloudy"
415,398,5,49,"Female",7,"Sunny"
97,325,9,27,"Female",7,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
106,240,10,18,"Female",7,"Sunny"
165,293,6,24,"Female",9,"Cloudy"
186,328,7,43,"Female",9,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
33,228,8,28,"Male",11,"Sunny"
363,433,10,55,"Male",12,"Sunny"
32,267,11,23,"Female",7,"Sunny"
539,300,7,36,"Male",8,"Cloudy"
466,374,5,45,"Female",11,"Sunny"
410,303,8,42,"Female",10,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
540,412,5,38,"Male",9,"Heavy Rain"
99,240,7,22,"Female",11,"Sunny"
66,279,6,33,"Female",9,"Light Rain"
553,323,7,45,"Female",7,"Sunny"
473,392,6,40,"Female",11,"Cloudy"
332,300,5,16,"Female",12,"Sunny"
269,335,2,32,"Male",9,"Sunny"
140,388,6,47,"Other",9,"Sunny"
370,465,7,45,"Female",19,"Sunny"
450,416,8,39,"Female",12,"Cloudy"
218,387,6,38,"Female",12,"Sunny"
236,357,6,43,"Male",12,"Sunny"
507,279,7,34,"Female",7,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
421,369,7,25,"Female",10,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
538,354,9,27,"Male",14,"Cloudy"
380,257,12,28,"Male",6,"Cloudy"
479,370,5,40,"Female",10,"Sunny"
581,301,10,40,"Female",11,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
102,276,6,23,"Female",12,"Light Rain"
