"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"Apple",0,"Medium",1,1072,825
"HP",2,"Large",2,978,643
"HP",4,"Medium",2,766,561
"HP",5,"Medium",0,461,658
"HP",1,"Large",1,1127,829
"HP",2,"Small",0,922,684
"MSI",1,"Medium",2,1085,723
"HP",2,"Medium",1,1118,778
"MSI",5,"Medium",2,1102,671
"HP",2,"Large",5,756,288
"HP",5,"Medium",0,1130,849
"HP",0,"Medium",1,760,659
"MSI",1,"Large",2,1088,720
"HP",1,"Large",2,601,575
"HP",2,"Large",0,1054,832
"HP",1,"Medium",2,1443,725
"MSI",3,"Large",2,567,559
"HP",0,"Medium",3,1191,584
"HP",4,"Small",3,1132,476
"HP",4,"Medium",0,1089,831
"MSI",1,"Medium",0,782,812
"HP",1,"Medium",5,1210,342
"Apple",3,"Large",4,1281,674
"HP",2,"Medium",3,839,465
"MSI",0,"Large",1,951,810
"HP",1,"Medium",2,990,611
"HP",4,"Large",3,1014,603
"MSI",1,"Medium",3,967,544
"MSI",3,"Large",2,908,663
"MSI",3,"Large",4,1092,535
"HP",3,"Large",2,660,518
"Apple",3,"Large",2,887,738
"HP",0,"Medium",1,1090,722
"MSI",2,"Small",2,1094,547
"HP",3,"Large",2,977,594
"HP",2,"Large",4,779,397
"MSI",0,"Medium",2,967,626
"HP",1,"Large",1,1145,826
"MSI",3,"Medium",3,1098,517
"Apple",2,"Medium",3,1288,646
"HP",4,"Small",3,1273,456
"MSI",1,"Medium",3,1087,572
"MSI",0,"Medium",1,1061,722
"HP",1,"Medium",2,900,611
"HP",2,"Small",1,1035,630
"HP",3,"Large",1,1046,721
"MSI",1,"Small",4,958,379
"MSI",0,"Large",4,736,398
"MSI",1,"Medium",2,1183,696
"HP",3,"Medium",5,1158,370
"MSI",2,"Large",1,627,713
"MSI",3,"Small",0,1128,804
"MSI",2,"Large",6,1212,348
"MSI",2,"Large",1,1184,840
"MSI",3,"Medium",2,986,642
"HP",1,"Medium",1,1208,822
"MSI",3,"Medium",1,1218,832
"MSI",0,"Large",2,1058,751
"MSI",1,"Medium",6,792,178
"MSI",1,"Medium",4,686,382
"Apple",2,"Large",3,1148,662
"MSI",0,"Medium",3,1296,618
"HP",0,"Medium",4,1239,436
"MSI",1,"Medium",2,998,634
"MSI",2,"Medium",2,1094,640
"HP",3,"Medium",2,1292,657
"HP",3,"Large",1,1165,752
"MSI",4,"Medium",4,850,461
"MSI",2,"Medium",1,1107,822
"HP",0,"Small",2,976,473
"HP",1,"Medium",2,883,569
"MSI",2,"Medium",2,1154,738
"Apple",0,"Large",3,1110,672
"HP",1,"Large",2,992,695
"HP",4,"Medium",1,1131,758
"MSI",1,"Medium",2,939,558
"HP",2,"Medium",1,1083,783
"HP",3,"Large",2,1093,683
"HP",1,"Large",2,1061,673
"Apple",1,"Large",3,827,585
"MSI",1,"Medium",4,1031,512
"HP",1,"Medium",4,1085,431
"MSI",0,"Medium",2,1208,745
"MSI",2,"Small",2,1088,567
"MSI",1,"Large",1,1111,810
"HP",0,"Medium",2,1057,614
"HP",1,"Large",3,602,398
"MSI",3,"Medium",0,945,828
"HP",1,"Large",3,870,491
"HP",0,"Large",2,936,657
"HP",1,"Large",1,890,746
